Year,S.No,STATE,DISTRICT,RR_C,RR_C_NC,RR_PQ,RR_Tot,TGA_C,TGA_C_NC,TGA_PQ,TGA_Tot,TGA,TGA_Tot,GWR_RR_C,GWR_RR_C_NC,GWR_RR_PQ,GWR_RR_Tot,GWR_CI_C,GWR_CI_C_NC,GWR_CI_PQ,GWR_CI_Tot,GWR_SWI_IRR_C,GWR_SWI_IRR_C_NC,GWR_SWI_IRR_PQ,GWR_SWI_IRR_Tot,GWR_GWI_IRR_C,GWR_GWI_IRR_C_NC,GWR_GWI_IRR_PQ,GWR_GWI_IRR_Tot,GWR_TP_C,GWR_TP_C_NC,GWR_TP_PQ,GWR_TP_Tot,GWR_WCS_C,GWR_WCS_C_NC,GWR_WCS_PQ,GWR_WCS_Tot,GWR_PL_C,GWR_PL_C_NC,GWR_PL_PQ,GWR_PL_Tot,GWR_SF_C,GWR_SF_C_NC,GWR_SF_PQ,GWR_SF_Tot,GWR_C,GWR_C_NC,GWR_PQ,GWR_Tot,IFO_BF_C,IFO_BF_C_NC,IFO_BF_PQ,IFO_BF_Tot,IFO_SR_C,IFO_SR_C_NC,IFO_SR_PQ,IFO_SR_Tot,IFO_LF_C,IFO_LF_C_NC,IFO_LF_PQ,IFO_LF_Tot,IFO_VF_C,IFO_VF_C_NC,IFO_VF_PQ,IFO_VF_Tot,IFO_EV_C,IFO_EV_C_NC,IFO_EV_PQ,IFO_EV_Tot,IFO_TR_C,IFO_TR_C_NC,IFO_TR_PQ,IFO_TR_Tot,IFO_ET_C,IFO_ET_C_NC,IFO_ET_PQ,IFO_ET_Tot,IFO_C,IFO_C_NC,IFO_PQ,IFO_Tot,AGR_C,AGR_C_NC,AGR_PQ,AGR_Tot,EFR_C,EFR_C_NC,EFR_PQ,EFR_Tot,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,GWE_C,GWE_C_NC,GWE_PQ,GWE_Tot,GWE_C,GWE_C_NC,GWE_PQ,GWE_Tot,DOM_DOM_C,DOM_DOM_C_NC,DOM_DOM_PQ,DOM_DOM_Tot,NAG_C,NAG_C_NC,NAG_PQ,NAG_Tot,QT_MP_C,QT_MP_C_NC,QT_MP_PQ,QT_OP_C,QT_OP_C_NC,QT_OP_PQ,APR_WL,APR_FP,APR_SD,CSA_C,CSA_C_NC,CSA_PQ,CSA_Tot,UCA_FR,UCA_SL,UCA_FR,UCA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,TGAH_FR,TGAH_SL
2024-25,1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,0.0,3015.7,0.0,3015.7,0.0,58040.0,0.0,58040.0,286106.0,344146.0,0.0,16376.36,0.0,16376.36,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.9,0.0,151.9,0.0,0.0,0.0,0.0,,,,,,,,,0.0,16528.260000000002,0.0,16528.260000000002,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16528.260000000002,0.0,16528.260000000002,0.0,1652.84,0.0,1652.84,0.0,14875.42,0.0,14875.42,,262.06306500000005,,262.06306500000005,,83.244524676865,,83.244524676865,,0.804,,0.804,,346.11,,346.11,,2.326724220223698,,2.326724220223698,0.0,269.19,0.0,269.19,0.0,14522.18,0.0,14522.18,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,14875.419999999998,0.0,0.0,,0.0,,0.0,,,,,,,,14875.419999999998,0.0
2024-25,2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,0.0,2805.2,2805.1999999999994,2805.2,0.0,37247.0,828.0,38075.0,156091.0,194166.0,0.0,10996.24,348.4,11344.64,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.14,0.0,16.14,0.0,0.0,0.0,0.0,,,,,,,,,0.0,11012.380000000001,348.4,11360.78,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11012.380000000001,348.4,11360.78,0.0,1101.25,34.84,1136.0900000000001,0.0,9911.130000000001,313.56,10224.69,,88.2878425,3.1517749999999998,91.4396175,,0.945722794520548,0.0,0.945722794520548,,0.253,0.0,0.253,,89.45,3.15,92.6,,0.9025207014739994,1.0045924225028702,0.9025207014739992,0.0,90.68,3.24,90.68,0.0,9819.279999999999,310.32,9819.279999999999,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,9911.130000000001,313.56,0.0,,0.0,,0.0,,,,,,,,9911.130000000001,313.56
2024-25,3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,0.0,3015.7,0.0,3015.7,0.0,31524.0,0.0,31524.0,215321.0,246845.0,0.0,10777.26,0.0,10777.26,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.46,0.0,20.46,0.0,0.0,0.0,0.0,,,,,,,,,0.0,10797.72,0.0,10797.72,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10797.72,0.0,10797.72,0.0,1079.7600000000002,0.0,1079.7600000000002,0.0,9717.960000000001,0.0,9717.960000000001,,322.8561875,,322.8561875,,13.610097499999998,,13.610097499999998,,10.647,,10.647,,347.12,,347.12,,3.5719430827046006,,3.5719430827046006,0.0,331.62,0.0,331.62,0.0,9362.07,0.0,9362.07,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,9717.960000000001,0.0,0.0,,0.0,,0.0,,,,,,,,9717.960000000001,0.0
2024-25,4,ARUNACHAL PRADESH,ANJAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619000.0,619000.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0.0
2024-25,5,ARUNACHAL PRADESH,CHANGLANG,0.0,2222.9,0.0,2222.8999999999996,0.0,53000.0,0.0,53000.0,413199.99999999994,466199.99999999994,0.0,19742.160000000003,0.0,19742.160000000003,,,,,0.0,10336.2,0.0,10336.2,0.0,29.159999999999997,0.0,29.159999999999997,,,,,,,,,,,,,,,,,0.0,30107.52,0.0,30107.52,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30107.52,0.0,30107.52,0.0,3010.7700000000004,0.0,3010.7700000000004,0.0,27096.75,0.0,27096.75,,182.82127847499999,,182.82127847499999,,0.0,,0.0,,64.80000000000001,,64.80000000000001,,247.62000000000003,,247.62000000000003,,0.9138365302111878,,0.9138365302111878,0.0,225.58999999999997,0.0,225.58999999999997,0.0,26806.36,0.0,26806.36,,,,,,,1933.4399688,1347.1488,0.0,,,,,0.0,0.0,27096.75,0.0,0.0,,0.0,,0.0,,,,,,,,27096.75,0.0
2024-25,6,ARUNACHAL PRADESH,DIBANG VALLEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912900.0,912900.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0.0
2024-25,7,ARUNACHAL PRADESH,EAST KAMENG,0.0,2026.2999999999997,0.0,2026.2999999999997,0.0,31249.999999999996,0.0,31249.999999999996,382150.0,413400.0,0.0,11144.66,0.0,11144.66,,,,,0.0,6383.153024,0.0,6383.14,0.0,32.47,0.0,32.47,,,,,,5.680000000000001,,5.680000000000001,,,,,,,,,0.0,17565.95,0.0,17565.95,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17565.95,0.0,17565.95,0.0,1756.5900000000001,0.0,1756.5900000000001,0.0,15809.359999999999,0.0,15809.359999999999,,14.722563350000001,,14.722563350000001,,0.0,,0.0,,94.10000000000001,,94.10000000000001,,108.82,,108.82,,0.6883264091652034,,0.6883264091652034,0.0,23.5,0.0,23.5,0.0,15691.77,0.0,15691.77,,,,,,,0.0,621.0,0.0,,,,,0.0,0.0,15809.36,0.0,0.0,,0.0,,0.0,,,,,,,,15809.36,0.0
2024-25,8,ARUNACHAL PRADESH,EAST SIANG,0.0,4398.6,0.0,4398.6,0.0,110100.0,0.0,110100.0,250200.0,360300.0,0.0,70296.68,0.0,70296.68,,,,,0.0,9924.605499999998,0.0,9924.599999999999,0.0,40.16,0.0,40.16,,,,,,5.0,,5.0,,,,,,,,,0.0,80266.44,0.0,80266.44,,,,,,,,,,,,0.0,,,,0.0,0.0,0.08,0.0,0.08,0.0,254.72,0.0,254.72,0.0,0.0,0.0,0.0,0.0,-254.79999999999998,0.0,-254.79999999999998,0.0,80011.64,0.0,80011.64,0.0,8026.64,0.0,8026.64,0.0,71985.0,0.0,71985.0,,64.39847205,,64.39847205,,4.199999999999999,,4.199999999999999,,110.42,,110.42,,179.01999999999998,,179.01999999999998,,0.24869069945127453,,0.24869069945127453,0.0,75.08,0.0,75.08,0.0,71795.3,0.0,71795.3,,,,,,,3733.8136030719998,748.7424,0.0,,,,,0.0,0.0,71985.0,0.0,0.0,,0.0,,0.0,,,,,,,,71985.0,0.0
2024-25,9,ARUNACHAL PRADESH,KURUNG KUMEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604000.0,604000.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,0.0
2024-25,10,ARUNACHAL PRADESH,LOHIT,0.0,2998.2,0.0,2998.2,0.0,200000.0,0.0,200000.0,321199.99999999994,521200.0,0.0,105536.64,0.0,105536.64,,,,,0.0,17398.2,0.0,17398.2,0.0,15.32,0.0,15.32,,,,,,,,,,,,,,,,,0.0,122950.16,0.0,122950.16,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1278.16,0.0,1278.16,0.0,0.0,0.0,0.0,0.0,-1278.16,0.0,-1278.16,0.0,121672.0,0.0,121672.0,0.0,12295.029999999999,0.0,12295.029999999999,0.0,109376.97,0.0,109376.97,,230.9697005,,230.9697005,,8.4,,8.4,,34.36,,34.36,,273.72,,273.72,,0.2502537782862334,,0.2502537782862334,0.0,279.47,0.0,279.47,0.0,109054.75,0.0,109054.75,,,,,,,9791.131590444,0.0,0.0,,,,,0.0,0.0,109376.97,0.0,0.0,,0.0,,0.0,,,,,,,,109376.97,0.0
